tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,hk1_numberofturbineinuse,hk1,hk2_numberofturbineinuse,hk2
2014,1,1,2,12.1,43,8.1,285,0,0,0,0,1.5,1,2,2481.3,4,8287.74
2014,1,1,3,10.6,50,8,285,0,0,0,0,1,1,2.166666667,2376.85,4,7438.154667
2014,1,1,4,10.2,50,8.2,278,0,0,0,0,1,1,2.944444444,1693.833333,4,3426.45
2014,1,1,5,8.4,50,6.9,281,0,0,0,0,1,1,3,1550.994444,4,2950.589
2014,1,1,6,8,50,6.4,298,0,0,0,0,1,1,3,1214.227778,4,2195.714667
2014,1,1,7,9,52,5.8,327,0,0,0,0,1,1,2.166666667,701.5333333,4,1678.207333
2014,1,2,0,10.4,52,5.1,26,0,0,10,0,0.5,2,2,655.0166667,4,1744.367667
2014,1,2,1,12.8,45,4.7,49,0,0,10,0,0.5,2,2,490.05,4,1489.557
2014,1,2,2,13.3,45,3.8,263,0,0,10,0,0.5,2,2.388888889,498.0944444,4,1752.697667
2014,1,2,3,10.8,52,3,276,0,0,10,0,0.5,2,1.722222222,135.5666667,4,1031.043667
2014,1,2,4,9.4,57,3.9,111,0,0,10,0,0.5,2,1.944444444,262.0777778,4,1467.751333
2014,1,2,5,8.4,64,2.3,147,0,0,10,0,0.5,2,2.111111111,496.0555556,4,2424.730333
2014,1,2,6,5,65,1.7,276,0,0,10,0,0,2,2.555555556,453.4222222,4,1728.460667
2014,1,2,7,5,65,3.7,287,0,0,10,0,0,2,0.777777778,33.56666667,2,348.7783333
2014,1,3,0,10.2,60,3.4,29,0,0,10,0,0,2,2.166666667,374.1166667,4,1386.385333
2014,1,3,1,13.8,53,3.3,4,0,0,10,0,0,2,1.944444444,369.1444444,4,1361.997667
2014,1,3,2,13.8,53,3,18,0,0,20,0,0,3,1.611111111,62.72222222,3.111111111,281.4146667
2014,1,3,3,12.2,60,3.7,25,0,0,20,0,0,3,0.166666667,5.894444444,0.444444444,28.249
2014,1,3,4,10.7,64,5.5,27,0,0,20,0,0,3,0,0,0,0
2014,1,3,5,9.4,65,5.8,10,0,0,30,0,0.5,3,0,0,0.277777778,3.942666667
2014,1,3,6,8.3,65,7.9,7,0,0,30,0,0.5,3,0.111111111,7.016666667,1.777777778,174.0196667
2014,1,3,7,8.1,65,8.7,1,0,0,20,0,1,3,1.444444444,209.5111111,5,1938.666
2014,1,4,0,8.7,60,9,353,0,0,10,0,1,2,2,1165.994444,5,4440.172667
2014,1,4,1,8.4,58,9.4,352,0,0,10,0,1,2,1.166666667,954.5111111,5,7073.325667
2014,1,4,2,7.9,58,8.4,348,0,0,10,0,1,2,1,871.7666667,5,8726.644
2014,1,4,3,5.9,55,9.8,350,0,0,0,0,1,1,1.333333333,1197.777778,5,8981.143667
2014,1,4,4,5.6,52,9.7,356,0,0,0,0,1.5,1,1.944444444,1939.85,4.944444444,8783.545333
2014,1,4,5,5,56,8.1,356,0,0,10,0,1.5,2,2,2283.838889,5,10123.89167
2014,1,4,6,4,61,7.7,354,0,0,10,0,1,2,2,2476.983333,5,11664.82933
2014,1,4,7,4,61,7.7,356,0,0,10,0,1,2,1.166666667,1321.572222,5,12061.87133
2014,1,5,0,5.8,60,8.1,355,0,0,0,0,1,1,1,935.7944444,4.277777778,9124.440667
2014,1,5,1,7.9,50,8.7,352,0,0,0,0,1,1,1,848.8944444,4,7745.329
2014,1,5,2,7.9,50,8,348,0,0,0,0,1,1,1,1143.377778,4,8762.080667
2014,1,5,3,6.9,55,6.5,348,0,0,0,0,1,1,1.444444444,1695.822222,4.444444444,8850.172333
2014,1,5,4,5.9,54,6.5,360,0,0,0,0,1,1,2,2118.9,5,8419.249333
2014,1,5,5,5,56,7.3,2,0,0,0,0,1,1,1.944444444,1757.277778,5,7992.314
2014,1,5,6,4.6,56,6.8,12,0,0,10,0,1,2,2,1935.611111,5,8466.008667
2014,1,5,7,4.3,56,6.2,17,0,0,10,0,0.5,2,2,2287.55,4.611111111,8683.776
2014,1,6,0,6.3,45,6,33,0,0,10,0,0.5,2,1.166666667,907.3555556,4,4596.324667
2014,1,6,1,9.1,40,5.6,15,0,0,10,0,0.5,2,1,345.85,4,2558.643667
2014,1,6,2,10,40,5,359,0,0,10,0,0.5,2,1.277777778,420.3944444,4.388888889,2744.955667
2014,1,6,3,8.7,46,4.3,35,0,0,10,0,0,2,1.944444444,393.3,4.888888889,2110.167333
2014,1,6,4,7.3,41,2.7,92,0,0,10,0,0,2,2.166666667,265.2166667,5,1340.055333
2014,1,6,5,5.1,50,2.5,131,0,0,10,0,0,2,2.833333333,275.3888889,5,1073.521333
2014,1,6,6,5.5,60,2,119,0,0,10,0,0,2,2.555555556,376.7555556,4.888888889,1543.114
2014,1,6,7,5.2,60,1.9,85,0,0,20,0,0,3,1.166666667,233.1944444,3.555555556,1318.733667
2014,1,7,0,9.4,57,2.8,56,0,0,20,0,0,3,2.277777778,636.1444444,5,2865.96
2014,1,7,1,12.1,51,2.5,54,0,0,20,0,0,3,1.444444444,346.6055556,5,2373.881333
2014,1,7,2,12.9,56,3.1,56,0,0,20,0,0,3,0.833333333,50.97777778,5,829.931
2014,1,7,3,12,70,2.9,37,0,0,30,0,0.5,4,0.666666667,51.63333333,3.777777778,746.0186667
2014,1,7,4,9.5,77,5.4,79,1,0,30,0,0.5,4,0.222222222,1.022222222,2.888888889,272.114
2014,1,7,5,9.4,82,5.2,74,1,0,60,1,0.5,4,0.722222222,20.22777778,3.777777778,372.3833333
2014,1,7,6,9.3,87,5.7,55,10,0,80,1,0.5,4,0.111111111,3.227777778,1.055555556,71.223
2014,1,7,7,8.4,90,7.1,47,10,0,90,1,0.5,4,0,0,0.944444444,53.85666667
2014,1,8,0,8.9,90,9.2,26,20,0,90,1,1.5,4,0.222222222,4.461111111,1.944444444,194.592
2014,1,8,1,7.6,85,9.9,15,10,0,90,1,1.5,4,1.888888889,170.9555556,5,1388.154667
2014,1,8,2,6.9,80,10.2,3,5,0,57,1,1.5,4,2.5,3541.4,4.611111111,12223.62967
2014,1,8,3,5.3,76,12.9,351,0,0,29,0,2,4,3,4562.438889,5,14994.815
2014,1,8,4,4.9,81,13.8,351,0,0,30,0,2,3,3,4561.405556,5,14845.203
2014,1,8,5,3.9,63,14.4,346,0,0,30,0,2.5,4,2.944444444,4448.416667,5,15003.684
