tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,1,1,2,12.1,45,3.2,290,0,0,0,0,0.5,1,8.555555556,1191.784333
2014,1,1,3,10,50,3.5,288,0,0,0,0,0.5,1,10,3379.547333
2014,1,1,4,5.7,51,2.4,301,0,0,0,0,0.5,1,10,8741.903
2014,1,1,5,4.7,56,2.5,315,0,0,0,0,0.5,1,10,5691.668
2014,1,1,6,3.9,56,3,316,0,0,10,0,0.5,1,8.333333333,956.9833333
2014,1,1,7,4.9,51,2.8,327,0,0,10,0,0.5,1,10,2389.233667
2014,1,2,0,9.6,50,2.7,351,0,0,0,0,0.5,1,10,4455.247
2014,1,2,1,12.1,45,1.9,16,0,0,0,0,0.5,2,10,4138.001333
2014,1,2,2,12.1,40,1.7,31,0,0,0,0,0.5,2,9.777777778,1473.462
2014,1,2,3,8.4,50,2,49,0,0,0,0,0,2,6.111111111,593.097
2014,1,2,4,6.5,64,2,89,0,0,10,0,0,2,8.277777778,508.2186667
2014,1,2,5,5.4,70,2.7,133,0,0,10,0,0,2,9.722222222,633.6393333
2014,1,2,6,3.1,76,1.5,255,0,0,10,0,0,2,4.055555556,135.0936667
2014,1,2,7,5.1,76,2.2,287,0,0,10,0,0,2,0,0
2014,1,3,0,10.1,61,3.6,312,0,0,10,0,0,2,0,0
2014,1,3,1,14.2,50,1.7,358,0,0,10,0,0,3,0,0
2014,1,3,2,14.4,50,1.5,53,0,0,20,0,0,3,0,0
2014,1,3,3,11,61,2.4,17,0,0,20,0,0,3,0,0
2014,1,3,4,9.2,74,2.3,21,0,0,30,0,0,3,0,0
2014,1,3,5,8.1,70,3.6,335,0,0,30,0,0,3,0,0
2014,1,3,6,6.2,75,2.7,345,0,0,30,0,0.5,3,6.611111111,357.7156667
2014,1,3,7,7.1,70,3.2,344,0,0,30,0,0.5,3,9.111111111,865.588
2014,1,4,0,8.1,56,2.3,326,0,0,10,0,0.5,2,10,2421.993
2014,1,4,1,8.9,50,3.2,330,0,0,10,0,0.5,2,10,6713.968667
2014,1,4,2,8.8,45,4.1,323,0,0,10,0,0.5,2,10,12074.742
2014,1,4,3,6,50,4.3,330,0,0,0,0,0.5,1,10,15865.73133
2014,1,4,4,3.8,65,5.2,334,0,0,0,0,0.5,1,10,13826.53133
2014,1,4,5,2.9,70,4.1,338,0,0,0,0,0.5,1,9.833333333,17578.56633
2014,1,4,6,2.1,70,4.1,337,0,0,0,0,0.5,1,10,16522.173
2014,1,4,7,2.2,71,4,336,0,0,0,0,0.5,1,9.388888889,13789.56667
2014,1,5,0,6,55,1.9,329,0,0,0,0,0.5,1,9,8395.292
2014,1,5,1,8.9,43,3.1,334,0,0,0,0,0.5,1,9,11411.372
2014,1,5,2,9.1,48,4.1,332,0,0,0,0,1,1,9,15745.67367
2014,1,5,3,6,54,5.3,337,0,0,0,0,1,1,9.388888889,11127.99533
2014,1,5,4,5,50,4.4,339,0,0,0,0,0.5,1,10,14252.79333
2014,1,5,5,3.4,55,4.4,354,0,0,0,0,0.5,1,10,13420.65167
2014,1,5,6,3.8,60,4.4,353,0,0,10,0,0.5,2,10,3871.587333
2014,1,5,7,4.3,60,4.3,1,0,0,10,0,0.5,2,10,6249.45
2014,1,6,0,6.2,49,0.9,16,0,0,10,0,0.5,2,9,3475.917333
2014,1,6,1,9,45,1.8,63,0,0,10,0,0.5,2,8,2376.938
2014,1,6,2,10,40,3.8,58,0,0,10,0,0.5,2,8,1976.913333
2014,1,6,3,6.8,56,3.1,50,0,0,10,0,0.5,2,5.722222222,485.029
2014,1,6,4,4.7,55,2,66,0,0,10,0,0.5,2,2.833333333,124.7616667
2014,1,6,5,5.4,65,1.6,145,0,0,10,0,0.5,2,6.055555556,210.6566667
2014,1,6,6,3.5,65,2.2,307,0,0,10,0,0.5,2,1.444444444,43.06766667
2014,1,6,7,4.8,65,2.4,318,0,0,20,0,0,3,0,0
2014,1,7,0,8.3,65,1.7,349,0,0,20,0,0,3,0,0
2014,1,7,1,12.1,60,1.8,16,0,0,20,0,0,3,0,0
2014,1,7,2,13.2,59,2.9,197,0,0,30,0,0,4,0,0
2014,1,7,3,11.2,70,3.1,173,0,0,30,0,0,4,0,0
2014,1,7,4,10.2,86,3.3,72,0,0,30,0,0.5,4,1.055555556,24.85533333
2014,1,7,5,10,90,2.2,100,0,0,29,0,0.5,4,4.055555556,447.6533333
2014,1,7,6,10.1,90,2.6,49,20,0,70,1,0.5,4,6.611111111,498.179
2014,1,7,7,10,90,2.6,24,20,0,90,1,0.5,4,9.388888889,933.1303333
2014,1,8,0,10.1,95,4.6,24,20,0,90,1,1,4,1.166666667,35.592
2014,1,8,1,9.2,95,5.7,6,10,0,80,1,1.5,4,8.5,858.6263333
2014,1,8,2,7.1,90,5.4,351,5,0,60,1,1.5,4,10,7395.273667
2014,1,8,3,5,80,6.3,339,5,0,64,1,1.5,3,10,13638.57267
2014,1,8,4,3.9,72,5.6,341,0,0,20,0,1.5,3,10,16816.32767
2014,1,8,5,3,72,6.7,336,0,0,20,0,1.5,3,10,16978.691
2014,1,8,6,2.1,72,5.6,336,0,0,20,0,1.5,3,10,18516.71033
2014,1,8,7,1.1,61,5.5,332,0,0,20,0,1.5,3,10,18829.18567
2014,1,9,0,2.1,50,5.4,341,0,0,20,0,1.5,3,10,19815.48967
2014,1,9,1,2.1,45,5.1,339,0,0,20,0,1,3,10,19634.387
2014,1,9,2,2.1,60,7.5,337,5,5,64,2,1,3,9.722222222,19238.676
2014,1,9,3,1.1,65,6.3,341,1,1,64,2,2,3,10,18080.54133
2014,1,9,4,0.1,71,4.2,349,5,5,64,3,1,3,10,18966.29
2014,1,9,5,0.1,75,3.6,353,5,5,60,3,1,3,10,18709.89967
2014,1,9,6,-0.8,75,4.4,355,5,5,30,0,1,3,10,18281.10433
2014,1,9,7,-0.7,71,4.6,333,5,5,60,3,1,3,10,16599.86967
2014,1,10,0,1.2,55,2.4,352,0,0,20,0,0.5,3,10,14288.59067
2014,1,10,1,3.1,50,2.4,338,0,0,20,0,0.5,3,10,7351.395667
2014,1,10,2,4.1,50,3.2,323,0,0,10,0,0.5,2,10,3981.709333
2014,1,10,3,3,60,3.8,320,0,0,10,0,0.5,2,6.944444444,477.132
2014,1,10,4,3.3,75,3.2,340,0,0,10,0,0.5,2,7.555555556,548.1896667
